score,highscore,block width difference
2,6,"82, 79"
0,6,
7,7,"86, 85, 80, 71, 60, 55, 23"
0,6,
0,6,
3,6,"99, 83, 81"
0,6,
13,13,"98, 94, 91, 72, 66, 60, 58, 54, 46, 32, 21, 16, 6"
3,6,"92, 92, 53"
2,2,"90, 81"
0,0,
3,3,"86, 77, 67"
0,0,
6,6,"94, 92, 92, 72, 60, 44"
2,2,"94, 84"
1,6,82
0,6,
5,6,"92, 92, 83, 77, 77"
2,6,"98, 87"
0,6,
2,2,"98, 84"
0,0,
1,1,86
3,6,"92, 89, 88"
0,6,
4,6,"92, 89, 85, 72"
7,7,"90, 87, 66, 62, 48, 42, 34"
4,13,"94, 69, 60, 7"
3,13,"98, 97, 87"
0,13,
0,13,
0,13,
0,13,
0,13,
0,13,
11,13,"98, 88, 82, 78, 76, 70, 60, 59, 55, 41, 20"
0,13,
4,13,"98, 39, 14, 5"
4,13,"98, 89, 80, 38"
10,13,"87, 78, 69, 60, 57, 41, 40, 31, 22, 4"
11,13,"98, 91, 89, 66, 53, 49, 27, 24, 24, 14, 10"
2,13,"84, 60"
3,13,"98, 84, 42"
2,13,"100, 16"
